2025-03-29 13:15:43.244 [info] Added views:workbench.panel.chat.view.copilot in workbench.panel.chat
2025-03-29 13:15:43.244 [info] Added views:workbench.panel.chat.view.edits in workbench.panel.chatEditing
2025-03-29 13:15:43.244 [info] Added views:outline in workbench.view.explorer
2025-03-29 13:15:43.244 [info] Added views:workbench.view.search in workbench.view.search
2025-03-29 13:15:43.244 [info] Added views:workbench.scm in workbench.view.scm
2025-03-29 13:15:43.244 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2025-03-29 13:15:43.244 [info] Added views:workbench.panel.output in workbench.panel.output
2025-03-29 13:15:43.244 [info] Added views:terminal in terminal
2025-03-29 13:15:43.244 [info] Added views:timeline in workbench.view.explorer
2025-03-29 13:15:43.244 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2025-03-29 13:15:43.861 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-03-29 13:15:43.863 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2025-03-29 13:15:45.273 [info] Added views:tmcView in workbench.view.extension.tmc
2025-03-29 13:15:45.843 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2025-03-29 13:15:46.512 [info] Added views:workbench.view.testing in workbench.view.extension.test
2025-03-29 13:15:51.318 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2025-03-29 13:39:09.034 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-03-29 13:39:09.088 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-03-29 13:39:09.789 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-03-29 13:39:09.830 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-03-29 13:39:26.439 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-03-29 13:39:26.484 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-03-29 13:40:18.050 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-03-29 13:40:18.106 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-03-29 13:44:03.735 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-03-29 13:44:03.782 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-03-29 13:44:45.972 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-03-29 13:44:46.022 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-03-29 13:46:43.270 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-03-29 13:46:43.315 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-03-29 13:46:55.481 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-03-29 13:46:55.532 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-03-29 13:47:02.490 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-03-29 13:47:02.529 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-03-29 13:47:04.877 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-03-29 13:47:04.922 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-03-29 13:47:12.627 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-03-29 13:47:12.663 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-03-29 13:47:41.898 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-03-29 13:47:41.945 [info] Added views:workbench.debug.welcome in workbench.view.debug
